[DEBUG] 2021-05-12 11:38:41.203 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@60bbacfc
[DEBUG] 2021-05-12 11:38:41.204 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@7a0e7ecd
[DEBUG] 2021-05-12 11:38:41.207 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@5b852b49
[DEBUG] 2021-05-12 11:38:41.207 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@5b852b49
[DEBUG] 2021-05-12 11:38:41.208 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@80bfdc6
[DEBUG] 2021-05-12 11:38:41.208 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@80bfdc6
[DEBUG] 2021-05-12 11:38:41.216 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@4d41ba0f
[DEBUG] 2021-05-12 11:38:41.217 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@4d41ba0f
[DEBUG] 2021-05-12 11:38:41.219 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@49faf066
[DEBUG] 2021-05-12 11:38:41.219 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@49faf066
[DEBUG] 2021-05-12 11:38:41.223 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@59072e9d
[DEBUG] 2021-05-12 11:38:41.223 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@59072e9d
[DEBUG] 2021-05-12 11:38:41.225 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@5e5af8e1
[DEBUG] 2021-05-12 11:38:41.225 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@5e5af8e1
[DEBUG] 2021-05-12 11:38:41.227 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@6e0c6a7a
[DEBUG] 2021-05-12 11:38:41.227 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@6e0c6a7a
[DEBUG] 2021-05-12 11:38:41.229 [main] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@50850539
[DEBUG] 2021-05-12 11:38:41.229 [main] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@50850539
[DEBUG] 2021-05-12 11:38:41.231 [main] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@4d95a72e
[DEBUG] 2021-05-12 11:38:41.231 [main] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@4d95a72e
[DEBUG] 2021-05-12 11:38:41.233 [main] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@121bb45b
[DEBUG] 2021-05-12 11:38:41.233 [main] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@121bb45b
[DEBUG] 2021-05-12 11:38:41.235 [main] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@733aa9d8
[DEBUG] 2021-05-12 11:38:41.235 [main] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@733aa9d8
[DEBUG] 2021-05-12 11:38:41.236 [main] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@4745e9c
[DEBUG] 2021-05-12 11:38:41.236 [main] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@4745e9c
[DEBUG] 2021-05-12 11:38:41.236 [main] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@4745e9c
[DEBUG] 2021-05-12 11:38:41.238 [main] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@296e281a
[DEBUG] 2021-05-12 11:38:41.239 [main] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@588f63c
[DEBUG] 2021-05-12 11:38:41.239 [main] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@588f63c
[DEBUG] 2021-05-12 11:38:41.239 [main] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@588f63c
[DEBUG] 2021-05-12 11:38:41.240 [main] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@74174a23
[DEBUG] 2021-05-12 11:38:41.241 [main] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@4613311f
[DEBUG] 2021-05-12 11:38:41.241 [main] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@4613311f
[DEBUG] 2021-05-12 11:38:41.243 [main] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@7724704f
[DEBUG] 2021-05-12 11:38:41.243 [main] BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@7724704f
[DEBUG] 2021-05-12 11:38:41.244 [main] BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@74ecacc3
[DEBUG] 2021-05-12 11:38:41.244 [main] BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@74ecacc3
[DEBUG] 2021-05-12 11:38:41.245 [main] BasicTypeRegistry - Adding type registration class -> org.hibernate.type.ClassType@378cfecf
[DEBUG] 2021-05-12 11:38:41.245 [main] BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@378cfecf
[DEBUG] 2021-05-12 11:38:41.245 [main] BasicTypeRegistry - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@762637be
[DEBUG] 2021-05-12 11:38:41.245 [main] BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@762637be
[DEBUG] 2021-05-12 11:38:41.246 [main] BasicTypeRegistry - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@23f3da8b
[DEBUG] 2021-05-12 11:38:41.247 [main] BasicTypeRegistry - Adding type registration binary -> org.hibernate.type.BinaryType@69fe0ed4
[DEBUG] 2021-05-12 11:38:41.247 [main] BasicTypeRegistry - Adding type registration byte[] -> org.hibernate.type.BinaryType@69fe0ed4
[DEBUG] 2021-05-12 11:38:41.247 [main] BasicTypeRegistry - Adding type registration [B -> org.hibernate.type.BinaryType@69fe0ed4
[DEBUG] 2021-05-12 11:38:41.248 [main] BasicTypeRegistry - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@1fb2d5e
[DEBUG] 2021-05-12 11:38:41.248 [main] BasicTypeRegistry - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@1fb2d5e
[DEBUG] 2021-05-12 11:38:41.248 [main] BasicTypeRegistry - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@1fb2d5e
[DEBUG] 2021-05-12 11:38:41.249 [main] BasicTypeRegistry - Adding type registration row_version -> org.hibernate.type.RowVersionType@15b642b9
[DEBUG] 2021-05-12 11:38:41.249 [main] BasicTypeRegistry - Adding type registration image -> org.hibernate.type.ImageType@715b886f
[DEBUG] 2021-05-12 11:38:41.250 [main] BasicTypeRegistry - Adding type registration characters -> org.hibernate.type.CharArrayType@1859e2a4
[DEBUG] 2021-05-12 11:38:41.250 [main] BasicTypeRegistry - Adding type registration char[] -> org.hibernate.type.CharArrayType@1859e2a4
[DEBUG] 2021-05-12 11:38:41.250 [main] BasicTypeRegistry - Adding type registration [C -> org.hibernate.type.CharArrayType@1859e2a4
[DEBUG] 2021-05-12 11:38:41.252 [main] BasicTypeRegistry - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@d5d5353
[DEBUG] 2021-05-12 11:38:41.252 [main] BasicTypeRegistry - Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@d5d5353
[DEBUG] 2021-05-12 11:38:41.252 [main] BasicTypeRegistry - Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@d5d5353
[DEBUG] 2021-05-12 11:38:41.252 [main] BasicTypeRegistry - Adding type registration text -> org.hibernate.type.TextType@3a082ff4
[DEBUG] 2021-05-12 11:38:41.253 [main] BasicTypeRegistry - Adding type registration ntext -> org.hibernate.type.NTextType@58f39564
[DEBUG] 2021-05-12 11:38:41.255 [main] BasicTypeRegistry - Adding type registration blob -> org.hibernate.type.BlobType@6a1d3225
[DEBUG] 2021-05-12 11:38:41.256 [main] BasicTypeRegistry - Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@6a1d3225
[DEBUG] 2021-05-12 11:38:41.256 [main] BasicTypeRegistry - Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@1457fde
[DEBUG] 2021-05-12 11:38:41.257 [main] BasicTypeRegistry - Adding type registration clob -> org.hibernate.type.ClobType@25aeb5ac
[DEBUG] 2021-05-12 11:38:41.257 [main] BasicTypeRegistry - Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@25aeb5ac
[DEBUG] 2021-05-12 11:38:41.259 [main] BasicTypeRegistry - Adding type registration nclob -> org.hibernate.type.NClobType@372ca2d6
[DEBUG] 2021-05-12 11:38:41.259 [main] BasicTypeRegistry - Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@372ca2d6
[DEBUG] 2021-05-12 11:38:41.260 [main] BasicTypeRegistry - Adding type registration materialized_clob -> org.hibernate.type.MaterializedClobType@58ba5b30
[DEBUG] 2021-05-12 11:38:41.260 [main] BasicTypeRegistry - Adding type registration materialized_nclob -> org.hibernate.type.MaterializedNClobType@eac3a26
[DEBUG] 2021-05-12 11:38:41.262 [main] BasicTypeRegistry - Adding type registration serializable -> org.hibernate.type.SerializableType@56637cff
[DEBUG] 2021-05-12 11:38:41.273 [main] BasicTypeRegistry - Adding type registration object -> org.hibernate.type.ObjectType@3a66e67e
[DEBUG] 2021-05-12 11:38:41.273 [main] BasicTypeRegistry - Adding type registration java.lang.Object -> org.hibernate.type.ObjectType@3a66e67e
[DEBUG] 2021-05-12 11:38:41.274 [main] BasicTypeRegistry - Adding type registration imm_date -> org.hibernate.type.AdaptedImmutableType@117d32e
[DEBUG] 2021-05-12 11:38:41.274 [main] BasicTypeRegistry - Adding type registration imm_time -> org.hibernate.type.AdaptedImmutableType@51d387d3
